1	0.00915046	0.00955875	0.0186857
2	0.00991017	0.0114516	0.0261991
3	0.0175338	0.0179315	0.0224052
4	0.0146466	0.0161703	0.042292
5	0.0135381	0.0140795	0.0156581
6	0.0123288	0.0125194	0.0226252
7	0.017476	0.0185154	0.0181703
8	0.0265292	0.0285927	0.0421822
9	0.00800096	0.00872642	0.019025
10	0.00697112	0.00792904	0.0164535
11	0.0163666	0.0170301	0.0225606
12	0.0136354	0.0142017	0.0212571
13	0.0199537	0.0208718	0.0380975
14	0.0112437	0.0119	0.0214046
15	0.0205339	0.0214415	0.0175108
16	0.0114679	0.012046	0.0270594
17	0.0370887	0.0381013	0.0365869
18	0.011143	0.0113345	0.0193715
19	0.0132289	0.0140266	0.0237657
20	0.0270106	0.0276335	0.0313413
21	0.0348425	0.0359985	0.044502
22	0.0142651	0.0145693	0.0193517
23	0.0130348	0.0140579	0.0211257
24	0.0135773	0.0140403	0.017509
25	0.0102391	0.010662	0.022608
26	0.0151749	0.0164794	0.0194975
27	0.0199133	0.0206853	0.0344661
28	0.0182866	0.0191089	0.0180761
29	0.0161465	0.0176146	0.0198305
30	0.0172343	0.0179735	0.0148103
31	0.0327913	0.0356122	0.039289
32	0.0185727	0.0197275	0.0197332
33	0.0265233	0.0285014	0.0417968
34	0.0153172	0.015802	0.019264
35	0.0114673	0.0120641	0.0259321
36	0.024358	0.0264223	0.0393587
37	0.0111005	0.0115293	0.0179308
38	0.0179904	0.0198243	0.036632
39	0.0132294	0.0143038	0.02108
40	0.0210628	0.0230061	0.0465234
41	0.0114205	0.0118243	0.0142732
42	0.0138663	0.0154916	0.041559
43	0.0113885	0.0117736	0.0217046
44	0.0110267	0.0116145	0.0242013
45	0.027135	0.0278686	0.0385132
46	0.00917763	0.0102992	0.0188754
47	0.00934283	0.00941454	0.0205575
48	0.0264405	0.0284208	0.0386552
49	0.0112294	0.0115536	0.0182331
50	0.0161844	0.0168341	0.0152601
51	0.014179	0.0153381	0.0177738
52	0.00821408	0.00913813	0.0229646
53	0.0165605	0.0182862	0.0443761
54	0.0107165	0.0116604	0.0225558
55	0.00935946	0.0100337	0.0205555
56	0.0133658	0.0139747	0.017539
57	0.034434	0.0356587	0.0297428
58	0.00965917	0.0105415	0.0213978
59	0.039112	0.0402274	0.0365172
60	0.0130742	0.0144781	0.0183514
61	0.014033	0.014772	0.0220242
62	0.0109997	0.0114175	0.017957
63	0.030223	0.0330363	0.0354606
64	0.0282636	0.0294906	0.0391907
65	0.0132383	0.0143632	0.0203372
66	0.0203716	0.0207208	0.0379939
67	0.017618	0.018713	0.0221846
68	0.0284645	0.0297138	0.0418544
69	0.0264305	0.0270563	0.0390732
70	0.0199892	0.0205941	0.0394784
71	0.0206015	0.022668	0.0453843
72	0.0195049	0.0206734	0.0178489
73	0.0172321	0.0189345	0.0365123
74	0.0104169	0.011281	0.0225967
75	0.0101246	0.0110434	0.0190003
76	0.0350729	0.0359442	0.0374722
77	0.0152265	0.0165716	0.0149206
78	0.0153247	0.0157035	0.0197787
79	0.0208187	0.0226461	0.0439396
80	0.0202513	0.021932	0.03789
81	0.011192	0.0114771	0.0177207
82	0.0286868	0.0290688	0.0425825
83	0.0114329	0.011556	0.0185908
84	0.0286343	0.030677	0.0362286
85	0.011351	0.0117882	0.0142247
86	0.0110955	0.0116346	0.0194219
87	0.0143069	0.0147127	0.0217285
88	0.00996396	0.0111154	0.0255348
89	0.0121618	0.013978	0.0264442
90	0.0194781	0.0211067	0.0212472
91	0.0105172	0.0106015	0.0220915
92	0.019661	0.0201876	0.0189124
93	0.0305567	0.0315463	0.0358845
94	0.011402	0.0124137	0.0216362
95	0.0468126	0.0424284	0.0434332
96	0.0282766	0.0294032	0.0392971
97	0.0408818	0.0424473	0.0431804
98	0.0122612	0.0134752	0.0207283
99	0.038732	0.0416457	0.0422842
100	0.0154682	0.015781	0.0196601
101	8.33e-07	3.34e-07	3.75e-07
102	0.0171309	0.0176189	0.0223195
103	0.0270664	0.0284415	0.0430815
104	0.0391369	0.0403491	0.0375148
105	0.0103322	0.0107388	0.0185649
106	0.0328841	0.0352079	0.0363568
107	0.0350571	0.0359553	0.037847
108	0.0174812	0.0179415	0.0187479
109	0.0256839	0.0261493	0.0431026
110	0.0142653	0.0154291	0.0161936
111	0.0348342	0.0374917	0.0444723
112	0.0069645	0.00766671	0.0132319
113	0.0287006	0.0305978	0.0352588
114	0.0205968	0.0213233	0.0216121
115	0.0125006	0.0135592	0.0216739
116	0.0164732	0.0175395	0.0143643
117	0.0109781	0.0114654	0.0196215
118	0.0286446	0.029482	0.0362435
119	0.0225413	0.0226347	0.0350829
120	0.0185793	0.0191278	0.0450023
121	0.0141621	0.0147444	0.0194393
122	0.0142872	0.0147738	0.0209837
123	4.17e-07	6.67e-07	3.33e-07
124	0.0179428	0.0199663	0.0374302
125	0.011055	0.0115389	0.0221331
126	0.0227905	0.0233523	0.0424086
127	0.034987	0.0358485	0.0363658
128	0.0328773	0.0351812	0.0290159
129	0.028752	0.0294216	0.0464153
130	0.0268595	0.0286118	0.0408136
131	0.0232475	0.0235978	0.0423425
132	0.0247775	0.0249012	0.0518565
133	0.0333295	0.0337577	0.0398052
134	0.0227257	0.0230558	0.0359831
135	0.00842371	0.00840963	0.022959
136	0.0119948	0.0127978	0.0211596
137	0.0254027	0.0256268	0.0369045
138	0.0135391	0.0143509	0.0183897
139	0.0227117	0.0228728	0.0389534
140	0.00939729	0.0102271	0.0205328
141	0.0103172	0.0114369	0.0185056
142	0.0210277	0.0228834	0.0461104
143	0.0223985	0.0240981	0.0398472
144	0.0249859	0.0269623	0.0433543
145	0.0141281	0.0147299	0.0201197
146	0.0303318	0.0314829	0.0387655
147	0.0112929	0.011784	0.0201536
148	0.0100384	0.0103405	0.0172163
149	0.0235098	0.0240693	0.051588
150	0.011206	0.0115005	0.0179215
151	0.036973	0.0379827	0.0361586
152	0.0173909	0.0180401	0.0165273
153	0.00955108	0.0103703	0.024323
154	0.013732	0.0148063	0.0244535
155	0.0116603	0.0119566	0.0259534
156	0.0207431	0.0219194	0.0192236
157	0.0186746	0.0191415	0.0416059
158	0.0105342	0.0113615	0.0199383
159	0.0122307	0.0132812	0.0193345
160	0.00953008	0.010454	0.0253417
161	0.0129998	0.0142745	0.0247213
162	0.0124531	0.0135551	0.0189278
163	0.0152888	0.016458	0.0194198
164	0.0104267	0.0106825	0.0221293
165	0.0206747	0.0212408	0.0302855
166	0.0186886	0.0190462	0.0372619
167	0.018353	0.0190172	0.0206255
168	0.0269068	0.0277609	0.0386016
169	0.0112768	0.0117967	0.0142329
170	0.00725396	0.00807217	0.021058
171	0.0349526	0.035986	0.0298071
172	0.00693342	0.00710879	0.0206652
173	0.0223399	0.0227555	0.0360456
174	0.0246133	0.024987	0.0455541
175	0.019441	0.0207558	0.0168534
176	0.0371731	0.0381367	0.0412065
177	0.0205968	0.021895	0.0168003
178	0.00730263	0.00821404	0.0182509
179	0.0174512	0.0185535	0.0223046
180	0.0195821	0.0202427	0.0184774
181	0.0112071	0.0114202	0.0177887
182	0.032691	0.0352212	0.0380063
183	0.0154383	0.0159457	0.0168877
184	0.0124478	0.0128973	0.0206871
185	0.0151132	0.0158467	0.0193808
186	0.0134955	0.0141755	0.0231256
187	0.0136023	0.0141701	0.0194502
188	0.0143517	0.0154237	0.0176468
189	0.020022	0.0209417	0.0380788
190	0.012507	0.012733	0.0184603
191	0.0105898	0.0109358	0.0258405
192	0.009965	0.0109169	0.0113605
193	0.0224355	0.0242349	0.026716
194	0.0179158	0.0196913	0.0416476
195	0.0140444	0.0147579	0.0215548
