1	0.0190931
2	0.0267182
3	0.0225519
4	0.0424802
5	0.0158613
6	0.0234185
7	0.0188716
8	0.0438277
9	0.0193897
10	0.016774
11	0.0231119
12	0.0224038
13	0.0413131
14	0.021827
15	0.0180398
16	0.0278714
17	0.0369834
18	0.019919
19	0.0246825
20	0.0331997
21	0.047059
22	0.0203661
23	0.022594
24	0.0187052
25	0.0241794
26	0.0205718
27	0.0364881
28	0.0192478
29	0.0230423
30	0.0159588
31	0.0406851
32	0.0201547
33	0.0436371
34	0.01981
35	0.027
36	0.0403927
37	0.018714
38	0.0380013
39	0.0216807
40	0.0498315
41	0.0157388
42	0.0448714
43	0.0238684
44	0.026242
45	0.0420588
46	0.0204721
47	0.0224
48	0.0417827
49	0.0197247
50	0.016653
51	0.0247926
52	0.0243755
53	0.0472163
54	0.0240894
55	0.0217417
56	0.0186493
57	0.0316208
58	0.0227338
59	0.0386417
60	0.0193623
61	0.0226549
62	0.0189272
63	0.0376285
64	0.0413301
65	0.0214796
66	0.0403481
67	0.0237944
68	0.0474023
69	0.041529
70	0.0440779
71	0.0478244
72	0.0194187
73	0.0384878
74	0.0238875
75	0.0200034
76	0.0397413
77	0.0157127
78	0.0210305
79	0.0466494
80	0.0401404
81	0.0185968
82	0.0451341
83	0.0195101
84	0.0382767
85	0.0150675
86	0.0204987
87	0.0226354
88	0.0274595
89	0.0278744
90	0.0225184
91	0.0233198
92	0.0201359
93	0.0381773
94	0.022938
95	0.0460062
96	0.0766519
97	0.0464955
98	0.022463
99	0.0469605
100	0.0209118
